'RATIO','INCLUDED?', 'SHEET', 'LINE', 'WORD'
80,1,stocking,49,"planted,"
100,0,,0,
92,0,,0,
50,1,stocking,50,not
100,0,,0,
53,1,regulation,23,completed
86,1,stocking,51,planted
67,1,habitat,15,See
91,0,,0,
70,1,regulation,24,reproduction
100,0,,0,
50,1,regulation,25,mapped
80,1,stocking,53,introduced.
55,1,eradication,25,poor.
92,0,,0,
86,0,,0,
46,0,,0,
76,0,,0,
100,0,,0,
100,0,,0,
86,1,stocking,54,planted
67,0,,0,
46,0,,0,
0,0,,0,
86,1,stocking,55,planted
71,1,stocking,56,produced
46,0,,0,
86,1,stocking,57,planted
50,1,regulation,27,mapped
60,1,habitat,20,see
86,1,stocking,58,planted
100,0,,0,
50,1,regulation,29,mapped
53,1,stocking,59,Partial
71,1,stocking,60,lation
50,1,regulation,30,Mapped
59,1,eradication,28,dominate
75,0,,0,
62,1,stocking,61,Deleted.
53,1,stocking,62,Partial
100,0,,0,
75,1,eradication,30,Gill
86,1,stocking,64,planted
67,1,stocking,65,pant
50,1,regulation,31,mapped
0,0,,0,
57,1,habitat,21,was
60,1,stocking,66,and
67,1,stocking,67,last
60,0,,0,
60,1,eradication,32,poor
59,1,regulation,32,Continuing
100,0,,0,
59,1,habitat,22,fingerling
73,1,habitat,23,ling
50,1,regulation,33,mapped
100,0,,0,
88,1,stocking,70,planting
67,1,eradication,33,in
0,0,,0,
86,1,stocking,71,planted
50,1,regulation,34,mapped
100,0,,0,
64,1,regulation,35,fishing
73,1,habitat,24,creel
67,1,habitat,25,See
73,1,stocking,73,plant.
90,1,habitat,26,vegetation
53,1,eradication,35,remapped
53,1,regulation,36,completed
0,0,,0,
80,0,,0,
80,1,stocking,74,Plans
46,0,,0,
100,0,,0,
67,1,eradication,37,indicates
47,0,,0,
100,0,,0,
100,0,,0,
50,1,regulation,37,Mapped
88,1,stocking,77,released
93,0,,0,
80,1,stocking,79,"planted,"
93,0,,0,
62,1,stocking,80,Deleted.
62,1,stocking,81,Deleted.
67,1,stocking,82,Deleted
67,1,stocking,83,Deleted
80,1,stocking,84,planted.
46,0,,0,
67,1,regulation,38,Size:
44,0,,0,
62,1,regulation,39,spring
100,0,,0,
93,0,,0,
100,0,,0,
0,0,,0,
58,1,habitat,29,recommendation
67,1,stocking,88,dated
100,0,,0,
62,1,eradication,38,obtained
100,0,,0,
67,1,eradication,40,indicates
100,0,,0,
0,0,,0,
60,1,habitat,30,have
89,0,,0,
0,0,,0,
0,0,,0,
71,1,habitat,31,Fishing
86,1,stocking,91,planted
60,1,regulation,40,Winter
86,1,stocking,92,planted
75,1,eradication,42,Gill
60,1,eradication,43,tion
100,0,,0,
46,0,,0,
100,0,,0,
100,0,,0,
56,1,eradication,44,Continued.
67,1,stocking,96,delayed
100,0,,0,
67,1,eradication,45,in
100,0,,0,
53,1,regulation,41,Completed
67,1,stocking,98,netting
100,0,,0,
67,1,stocking,100,showing
60,1,eradication,46,Discontinued
100,0,,0,
60,1,eradication,47,w/gill
50,1,regulation,42,mapped
47,0,,0,
100,0,,0,
53,1,stocking,102,stunted.
55,0,,0,
93,0,,0,
53,1,stocking,104,Partial
62,1,stocking,105,doing
59,1,eradication,49,population.
100,0,,0,
100,0,,0,
57,1,habitat,34,Surveyed
73,1,stocking,107,plants
73,1,eradication,50,Legal
50,1,regulation,44,Mapped
100,0,,0,
100,0,,0,
75,1,eradication,52,Gill
57,1,habitat,35,Delete.
100,0,,0,
57,1,habitat,36,Delete.
57,1,habitat,37,Delete.
57,1,habitat,38,logging
60,1,stocking,110,and
77,1,habitat,39,piling
100,0,,0,
62,1,stocking,111,Tested
93,0,,0,
67,1,habitat,40,See
75,1,eradication,54,Gill
75,1,eradication,55,Gill
100,0,,0,
80,1,stocking,114,plant
100,0,,0,
100,0,,0,
60,1,stocking,117,and
100,0,,0,
63,1,regulation,45,starting
100,0,,0,
0,0,,0,
57,1,stocking,120,trout
100,0,,0,
0,0,,0,
100,0,,0,
43,0,,0,
94,0,,0,
93,0,,0,
67,1,regulation,46,census
46,0,,0,
88,1,stocking,123,planting
62,1,eradication,57,check
100,0,,0,
57,1,habitat,42,Warm
100,0,,0,
100,0,,0,
50,1,eradication,59,fish
46,0,,0,
53,1,habitat,43,longer
62,1,eradication,60,population
50,1,regulation,48,mapped
55,1,regulation,49,collection.
0,0,,0,
57,1,habitat,44,Delete.
46,0,,0,
46,0,,0,
60,1,stocking,125,and
62,1,habitat,45,small.
75,1,regulation,50,declining
86,1,stocking,126,planted
50,1,regulation,51,Completed.
60,1,stocking,127,and
60,1,stocking,128,constructed
100,0,,0,
86,1,stocking,129,planted
88,1,stocking,130,released
0,0,,0,
70,1,stocking,131,reestablished.
100,0,,0,
57,1,stocking,133,suckers
100,0,,0,
60,1,stocking,135,constructed
89,0,,0,
88,1,stocking,136,released
75,1,eradication,63,Gill
62,1,habitat,46,present
67,1,eradication,64,gill.
67,1,eradication,65,in
100,0,,0,
73,1,habitat,47,creek
93,0,,0,
86,0,,0,
60,1,regulation,52,Winter
86,1,stocking,139,planted
55,1,habitat,48,-see
67,1,eradication,67,in
60,1,eradication,68,Poor
100,0,,0,
100,0,,0,
56,1,regulation,53,returns
86,1,stocking,142,planted
73,1,stocking,143,plants
53,1,habitat,49,fingerlings.
62,1,eradication,69,check
46,0,,0,
100,0,,0,
89,0,,0,
67,1,habitat,51,See
53,1,habitat,52,Excellent
62,1,stocking,145,showed
60,1,stocking,146,and
86,1,stocking,147,planted
91,0,,0,
67,1,habitat,54,shiners
93,0,,0,
75,1,habitat,55,installed
46,0,,0,
67,1,regulation,54,being
53,1,eradication,71,Approved
62,1,habitat,56,either
67,1,eradication,72,gills
64,1,stocking,149,fry_plantings.
86,1,stocking,150,planted
75,1,eradication,73,gill
60,1,habitat,57,all
47,0,,0,
60,1,habitat,58,Begin
50,1,regulation,55,Mapped
40,0,,0,
60,1,stocking,151,and
67,1,eradication,74,annually
82,1,stocking,152,plantings
86,1,stocking,153,planted
46,0,,0,
88,1,stocking,154,released
88,1,stocking,155,released
86,1,stocking,156,shocked
67,1,habitat,59,small
60,1,regulation,56,bass
50,1,regulation,57,mapped
89,0,,0,
86,1,stocking,157,planted
83,0,,0,
86,1,stocking,158,planted
75,1,eradication,76,Gill
100,0,,0,
46,0,,0,
67,1,regulation,59,at
86,1,stocking,160,planted
100,0,,0,
100,0,,0,
0,0,,0,
100,0,,0,
100,0,,0,
71,1,eradication,78,indicate
50,1,regulation,61,Mapped
50,1,stocking,163,Inventoried
100,0,,0,
71,1,eradication,79,Posted
61,1,regulation,62,fishing.
100,0,,0,
82,1,stocking,166,plantings
86,1,stocking,167,planted
93,0,,0,
100,0,,0,
88,0,,0,
63,1,eradication,81,Chemistry
92,0,,0,
77,1,stocking,170,lease
57,1,habitat,60,Delete.
57,1,habitat,61,Delete.
67,1,habitat,62,as
80,1,habitat,63,marsh
60,1,stocking,171,and
47,0,,0,
93,0,,0,
64,1,eradication,82,responding
57,1,stocking,173,stunted
80,0,,0,
62,1,habitat,64,following
94,0,,0,
62,1,stocking,175,Resort
67,1,eradication,84,Revised.
75,1,habitat,65,rock
86,1,stocking,176,planted
75,1,habitat,66,rock
100,0,,0,
60,1,stocking,178,and
100,0,,0,
62,1,eradication,85,chem.
100,0,,0,
62,1,eradication,86,Permission
75,1,eradication,87,gill
75,1,eradication,88,Gill
90,0,,0,
88,0,,0,
62,1,regulation,64,pseeds.
67,1,habitat,67,See
67,1,habitat,68,See
73,1,stocking,182,plants
67,1,eradication,90,in
88,1,stocking,183,released
0,0,,0,
100,0,,0,
86,1,stocking,185,planted
100,0,,0,
88,1,stocking,187,released
88,1,stocking,188,released
46,0,,0,
80,1,stocking,189,planted.
88,1,stocking,190,released
88,1,stocking,191,released
44,0,,0,
67,1,habitat,69,rel
0,0,,0,
86,1,stocking,192,planted
94,0,,0,
60,1,regulation,65,bass
93,0,,0,
100,0,,0,
0,0,,0,
57,1,stocking,195,suckers
67,1,habitat,71,regulations
67,1,regulation,66,at
94,0,,0,
47,0,,0,
67,1,regulation,67,seine
100,0,,0,
60,1,stocking,197,and
62,1,eradication,91,population
100,0,,0,
80,1,habitat,72,March
69,1,regulation,70,Electrofishing
60,1,regulation,71,bass
100,0,,0,
100,0,,0,
100,0,,0,
50,1,regulation,74,mapped
86,1,stocking,199,planted
0,0,,0,
86,1,stocking,200,planted
57,1,stocking,201,netted.
0,0,,0,
67,1,stocking,202,netting
0,0,,0,
86,1,stocking,203,planted
86,1,stocking,204,planted
100,0,,0,
86,1,stocking,205,planted
82,1,stocking,206,plantings
60,1,stocking,207,and
59,1,habitat,73,fingerling
80,1,stocking,208,plant
46,0,,0,
93,0,,0,
59,1,habitat,75,Netting
57,1,eradication,93,analysis
67,1,eradication,94,in
0,0,,0,
50,1,regulation,76,Mapped
62,1,habitat,76,Long
100,0,,0,
67,1,eradication,95,seined
50,1,regulation,77,mapped
94,0,,0,
67,1,habitat,77,Bass
100,0,,0,
75,0,,0,
62,1,habitat,78,small.
57,1,eradication,96,analysis
57,1,habitat,79,Delete.
57,1,habitat,80,Delete.
59,1,eradication,97,populations
100,0,,0,
80,1,regulation,80,Open
60,1,stocking,212,and
50,1,regulation,81,mapped
67,1,eradication,98,in
100,0,,0,
0,0,,0,
0,0,,0,
0,0,,0,
50,1,eradication,99,good
0,0,,0,
62,1,eradication,100,population
73,1,stocking,214,land
0,0,,0,
0,0,,0,
94,0,,0,
86,1,stocking,216,planted
93,0,,0,
100,0,,0,
67,1,eradication,101,seined
67,1,regulation,83,One
100,0,,0,
57,1,habitat,83,fishery
67,1,eradication,102,Remapped
71,1,stocking,218,lation
67,1,eradication,103,in
62,1,stocking,219,netted
50,1,regulation,84,mapped
53,1,stocking,220,Partial
67,0,,0,
67,0,,0,
67,1,stocking,221,Population
100,0,,0,
100,0,,0,
67,1,eradication,106,in
36,0,,0,
75,0,,0,
60,1,regulation,87,winter
75,0,,0,
50,1,regulation,89,completed.
0,0,,0,
100,0,,0,
100,0,,0,
57,1,stocking,224,trout
100,0,,0,
86,1,stocking,225,planted
55,1,habitat,84,(Mason
92,0,,0,
50,1,regulation,93,Mapped
86,0,,0,
100,0,,0,
88,0,,0,
53,1,stocking,227,Partial
100,0,,0,
100,0,,0,
75,0,,0,
100,0,,0,
67,1,stocking,229,netting
71,1,habitat,86,Fishing
75,1,eradication,110,Gill
100,0,,0,
100,0,,0,
60,1,stocking,232,and
94,0,,0,
67,1,stocking,234,Population
50,1,regulation,96,mapped
67,1,habitat,87,as
100,0,,0,
55,1,habitat,88,(see
55,1,habitat,89,(see
57,1,eradication,111,discontinued.
40,0,,0,
62,1,habitat,90,Delete
60,1,stocking,235,and
59,1,habitat,91,Selective
62,1,stocking,236,doing
62,1,habitat,92,small.
89,1,stocking,237,Stoc
67,1,eradication,112,in
50,1,regulation,98,mapped
100,0,,0,
67,1,habitat,93,Bass
64,1,habitat,94,management
100,0,,0,
75,1,stocking,239,Pat
76,1,stocking,240,"established,"
77,1,regulation,100,success
77,1,regulation,101,success
64,1,regulation,102,fishing
67,1,regulation,103,at
53,1,habitat,95,Excellent
0,0,,0,
67,1,habitat,96,small
0,0,,0,
62,1,habitat,97,present
89,0,,0,
88,1,stocking,241,released
75,1,eradication,114,gill
60,1,stocking,242,and
60,1,habitat,98,rel.
80,0,,0,
86,1,stocking,243,planted
100,0,,0,
76,1,stocking,244,establishing
67,1,eradication,116,in
67,1,eradication,117,in
100,0,,0,
80,1,habitat,100,marsh
88,1,stocking,246,released
50,1,regulation,104,Netted
62,1,habitat,101,small.
88,1,stocking,247,released
88,1,stocking,248,released
88,1,stocking,249,released
88,1,stocking,250,released
25,0,,0,
88,1,stocking,251,released
75,1,eradication,118,Gill
88,1,stocking,252,released
50,1,regulation,105,completed.
71,1,habitat,102,Fishing
62,1,eradication,119,population
86,1,stocking,253,planted
71,1,eradication,120,indicate
62,1,habitat,103,small.
67,1,habitat,104,See
0,0,,0,
0,0,,0,
59,0,,0,
86,1,stocking,254,planted
55,1,habitat,105,Conservation
62,1,habitat,106,General
100,0,,0,
100,0,,0,
86,1,stocking,256,planted
93,0,,0,
62,1,eradication,122,private
73,1,habitat,109,"March,"
57,1,eradication,123,analysis
86,1,stocking,257,planted
86,1,stocking,258,planted
50,1,regulation,106,mapped
100,0,,0,
100,0,,0,
67,1,habitat,110,See
67,1,habitat,111,See
62,1,eradication,125,chem.
100,0,,0,
100,0,,0,
67,1,eradication,126,indicates
100,0,,0,
88,0,,0,
100,0,,0,
100,0,,0,
100,0,,0,
71,1,eradication,128,Revised
71,1,eradication,129,Revised
77,1,eradication,130,portion
84,1,stocking,265,introduced
0,0,,0,
100,0,,0,
100,0,,0,
53,1,regulation,108,ventoried
100,0,,0,
73,1,habitat,112,creel
100,0,,0,
71,1,eradication,132,indicate
73,1,stocking,270,plants
86,1,stocking,271,planted
56,1,stocking,272,conducted
60,1,stocking,273,constructed
67,1,eradication,133,in
86,0,,0,
57,1,habitat,114,Surveyed
50,1,regulation,109,mapped
86,1,stocking,274,planted
86,1,stocking,275,planted
86,1,stocking,276,planted
100,0,,0,
100,0,,0,
100,0,,0,
93,0,,0,
55,1,regulation,110,plete
53,1,eradication,135,remapped
93,0,,0,
100,0,,0,
57,1,habitat,115,state
100,0,,0,
100,0,,0,
100,0,,0,
93,0,,0,
67,1,habitat,116,gillnetting
67,1,eradication,139,in
86,1,stocking,282,planted
53,1,regulation,112,completed
100,0,,0,
80,1,stocking,283,planted:
62,1,regulation,113,"across,"
67,1,eradication,141,in
86,1,stocking,284,planted
50,1,regulation,114,mapped
59,1,eradication,142,population.
0,0,,0,
94,0,,0,
60,1,regulation,115,bass
67,1,eradication,143,seined
73,1,regulation,116,pseed
67,1,eradication,144,improved
67,1,eradication,145,in
57,1,habitat,117,Fishery
100,0,,0,
84,1,stocking,286,introduced
76,1,stocking,287,established.
86,1,stocking,288,planted
86,1,stocking,289,planted
86,1,stocking,290,planted
53,1,habitat,118,abundant
46,0,,0,
64,1,habitat,119,management
67,1,habitat,120,designation
86,1,stocking,291,planted
86,0,,0,
86,1,stocking,292,planted
70,1,regulation,118,reproduction
86,1,stocking,293,planted
47,0,,0,
0,0,,0,
100,0,,0,
67,1,eradication,146,seined
75,1,eradication,147,Gill
67,1,eradication,148,indicates
60,1,stocking,295,and
86,1,stocking,296,planted
50,1,regulation,119,mapped
60,1,habitat,122,ave.
60,1,stocking,297,and
57,1,stocking,298,Treated
88,1,stocking,299,released
62,1,habitat,123,seeds
57,1,stocking,300,trout
100,0,,0,
67,1,habitat,124,rel
67,1,habitat,125,See
67,1,regulation,120,Seined
50,1,regulation,121,mapped
100,0,,0,
50,1,regulation,122,Netted
0,0,,0,
0,0,,0,
60,1,stocking,302,and
67,1,eradication,150,in
73,1,stocking,303,land
93,0,,0,
86,1,stocking,304,planted
77,1,habitat,127,gravels
67,0,,0,
100,0,,0,
46,0,,0,
67,1,eradication,153,seined
67,1,eradication,154,seined
67,1,eradication,155,seined
84,0,,0,
59,1,habitat,128,eventually
94,0,,0,
93,0,,0,
100,0,,0,
100,0,,0,
63,1,eradication,157,Chemistry
71,1,eradication,158,indicate
90,0,,0,
88,0,,0,
92,0,,0,
50,1,eradication,160,inv.
100,0,,0,
62,1,eradication,161,population
100,0,,0,
100,0,,0,
86,1,stocking,314,planted
46,0,,0,
75,1,regulation,124,Size
67,1,eradication,162,seined
86,1,stocking,315,planted
80,1,stocking,316,"planted,"
100,0,,0,
67,1,stocking,317,netting
59,1,habitat,129,September
100,0,,0,
100,0,,0,
0,0,,0,
100,0,,0,
62,1,stocking,321,"Deleted,"
50,1,eradication,163,done
100,0,,0,
62,1,eradication,164,pond
50,1,regulation,126,Mapped
100,0,,0,
64,1,regulation,127,fishing
75,1,eradication,165,gill
67,1,eradication,166,in
67,1,regulation,128,Seine
67,1,stocking,324,netting
75,0,,0,
86,1,stocking,325,planted
86,1,stocking,326,planted
94,0,,0,
67,1,stocking,328,Population
86,1,stocking,329,planted
46,0,,0,
53,1,regulation,130,completed
100,0,,0,
0,0,,0,
100,0,,0,
80,1,stocking,330,plant
60,1,eradication,169,prohibited.
100,0,,0,
100,0,,0,
86,1,stocking,333,planted
67,1,habitat,130,See
93,0,,0,
80,0,,0,
46,0,,0,
0,0,,0,
67,1,habitat,131,artificial
86,1,habitat,132,filling
60,1,stocking,335,and
55,1,stocking,336,Rec.
67,1,regulation,131,census
59,1,eradication,171,estimate
56,1,stocking,337,Trap-netted
56,1,stocking,338,Trap-netted
67,1,eradication,172,in
67,1,eradication,173,in
60,1,stocking,339,and
80,0,,0,
100,0,,0,
86,1,stocking,341,planted
80,1,stocking,342,planted:
62,1,stocking,343,stomachs
47,0,,0,
59,1,habitat,133,Further
67,1,eradication,174,in
80,0,,0,
67,1,stocking,344,netting
80,0,,0,
67,1,habitat,135,as
55,1,habitat,136,fall
67,1,eradication,175,in
93,0,,0,
73,1,habitat,138,creel
75,1,eradication,176,will
57,1,stocking,345,treated
100,0,,0,
94,0,,0,
100,0,,0,
67,1,eradication,178,in
100,0,,0,
67,1,habitat,141,See
67,1,habitat,142,Artificial
50,1,regulation,134,Mapped
71,1,habitat,143,Management
60,1,habitat,144,all
57,1,stocking,349,trout
0,0,,0,
53,1,habitat,145,longer
67,1,regulation,135,seine
93,0,,0,
62,1,eradication,179,population
46,0,,0,
67,1,eradication,180,indicates
86,1,stocking,350,planted
59,1,habitat,147,Netting
71,1,eradication,181,Revised
0,0,,0,
86,1,stocking,351,planted
86,1,stocking,352,planted
80,1,stocking,353,release
67,1,habitat,148,ave
60,1,habitat,149,rel.
46,0,,0,
62,1,eradication,182,chem.
69,1,regulation,136,Electrofishing
53,1,regulation,137,Completed
50,1,regulation,138,Completed.
88,0,,0,
60,1,stocking,355,and
50,1,regulation,139,Completed.
60,1,regulation,140,bass
100,0,,0,
95,0,,0,
56,1,stocking,357,conducted
100,0,,0,
75,1,eradication,184,gill
80,0,,0,
76,1,eradication,186,Erradication
0,0,,0,
44,0,,0,
62,1,stocking,359,lacking.
67,1,regulation,141,sification
67,1,eradication,187,series
73,1,habitat,150,creek
86,1,stocking,360,planted
100,0,,0,
80,1,stocking,362,plant
73,1,stocking,363,plants
57,1,stocking,364,to
100,0,,0,
67,1,eradication,188,in
94,0,,0,
100,0,,0,
69,1,regulation,143,Electrofishing
100,0,,0,
67,1,habitat,152,See
100,0,,0,
59,1,eradication,189,populations
100,0,,0,
100,0,,0,
100,0,,0,
100,0,,0,
60,1,habitat,153,rough
57,1,regulation,147,sharing
100,0,,0,
94,0,,0,
67,1,regulation,148,Electro-fishing
53,1,regulation,149,Completed
71,1,stocking,372,strong
60,1,habitat,154,since
0,0,,0,
88,1,stocking,373,released
67,1,stocking,374,balanced
75,1,stocking,375,produce
93,0,,0,
75,1,habitat,155,rock
67,1,habitat,156,as
67,1,regulation,150,Seined
100,0,,0,
73,1,eradication,190,Legal
67,1,habitat,157,Regulations
73,1,eradication,191,Legal
55,1,habitat,158,crews
67,0,,0,
55,1,stocking,378,test
100,0,,0,
100,0,,0,
100,0,,0,
60,1,stocking,381,and
67,1,eradication,193,"gill,"
0,0,,0,
100,0,,0,
46,0,,0,
46,0,,0,
100,0,,0,
86,1,stocking,383,planted
88,1,stocking,384,released
0,0,,0,
100,0,,0,
100,0,,0,
86,1,stocking,387,planted
88,1,stocking,388,released
43,0,,0,
100,0,,0,
100,0,,0,
100,0,,0,
80,1,regulation,152,Open
74,1,stocking,392,transferred
100,0,,0,
62,1,stocking,394,"lations,"
0,0,,0,
100,0,,0,
46,0,,0,
57,1,habitat,159,Surveyed
86,0,,0,
57,1,stocking,396,Treated
100,0,,0,
57,1,stocking,398,"netted,"
67,1,regulation,153,"pseed,"
50,1,regulation,154,mapped
84,1,stocking,399,introduced
62,1,habitat,160,small.
67,0,,0,
60,0,,0,
80,1,habitat,161,marsh
46,0,,0,
86,1,stocking,400,planted
75,1,eradication,197,gill
60,1,regulation,156,bass
86,1,stocking,401,shocked
86,0,,0,
88,1,stocking,402,released
100,0,,0,
80,1,eradication,199,dicate
67,1,eradication,200,in
60,1,habitat,162,almost
46,0,,0,
50,1,regulation,158,mapped
67,1,eradication,201,in
80,1,stocking,403,planted:
67,1,eradication,202,indicates
100,0,,0,
60,1,stocking,405,and
46,0,,0,
86,1,stocking,406,planted
86,1,stocking,407,planted
71,1,stocking,408,plante.
82,1,stocking,409,planting.
46,0,,0,
82,1,stocking,410,plantings
60,1,eradication,203,"Commission,"
94,0,,0,
86,1,stocking,411,planted
0,0,,0,
67,1,eradication,205,in
57,1,stocking,412,treated
46,0,,0,
0,0,,0,
100,0,,0,
71,1,stocking,413,Shocker
75,0,,0,
56,1,regulation,160,Engineering
55,1,regulation,161,(Winter
55,0,,0,
0,0,,0,
100,0,,0,
67,1,habitat,163,See
67,1,eradication,208,in
67,1,eradication,209,in
93,0,,0,
50,1,regulation,163,Completed.
47,0,,0,
67,1,eradication,210,indicated
62,1,stocking,415,after
80,0,,0,
57,1,habitat,164,state
80,1,stocking,416,shocked.
67,1,eradication,211,in
50,1,regulation,165,mapped
43,0,,0,
100,0,,0,
67,1,regulation,166,te
67,1,eradication,212,in
100,0,,0,
60,1,eradication,213,over
67,1,eradication,214,none
63,1,eradication,215,Chemistry
100,0,,0,
44,0,,0,
82,1,stocking,419,plantings
100,0,,0,
71,1,eradication,217,Revised
44,0,,0,
60,1,eradication,218,Poor
50,1,regulation,167,mapped
53,1,habitat,167,"Surveyed,"
0,0,,0,
0,0,,0,
86,0,,0,
53,1,eradication,220,oxygen
73,1,habitat,168,creek
0,0,,0,
60,1,eradication,221,poor
67,1,eradication,222,Fish
50,1,eradication,223,fish
53,1,regulation,168,completed
57,1,eradication,224,Discontinued.
59,1,eradication,225,recovered.
60,1,regulation,169,winter
57,1,eradication,226,All
100,0,,0,
100,0,,0,
62,1,stocking,420,showed
93,0,,0,
100,0,,0,
80,1,stocking,422,established
80,1,habitat,169,marsh
0,0,,0,
100,0,,0,
67,1,eradication,228,in
67,1,eradication,229,indicates
59,1,habitat,170,fingerling
0,0,,0,
60,1,habitat,171,"Bass,"
100,0,,0,
100,0,,0,
62,0,,0,
100,0,,0,
100,0,,0,
100,0,,0,
71,1,stocking,428,produced
71,1,stocking,429,produced
100,0,,0,
75,1,eradication,233,gill
59,1,regulation,173,successful.
53,1,habitat,172,longer
50,1,eradication,234,Good
67,1,eradication,235,in
80,1,stocking,431,"planted,"
67,1,habitat,173,small
75,1,eradication,236,Gill
67,1,eradication,237,in
67,1,stocking,432,balanced
80,0,,0,
80,0,,0,
67,1,eradication,240,in
67,1,eradication,241,in
77,1,regulation,174,success
86,1,stocking,433,planted
0,0,,0,
67,1,stocking,434,netting
100,0,,0,
100,0,,0,
63,1,stocking,436,"fishplanted,"
80,1,stocking,437,planted:
67,1,regulation,176,Quite
53,1,stocking,438,"trout,"
67,1,eradication,242,in
93,0,,0,
89,0,,0,
80,1,stocking,439,plant
100,0,,0,
88,1,stocking,441,planting
82,1,stocking,442,plantings
67,1,eradication,244,in
100,0,,0,
100,0,,0,
67,1,eradication,245,Revised.
46,0,,0,
76,1,stocking,443,established.
89,0,,0,
100,0,,0,
88,1,stocking,445,released
88,1,stocking,446,released
57,1,stocking,447,suckers
88,1,stocking,448,released
100,0,,0,
88,1,stocking,449,released
88,1,stocking,450,released
88,1,stocking,451,released
0,0,,0,
0,0,,0,
94,0,,0,
60,1,regulation,178,bass
100,0,,0,
77,0,,0,
0,0,,0,
57,1,stocking,454,Started
46,0,,0,
60,1,habitat,176,Began
50,1,regulation,180,Mapped
67,1,eradication,248,Derwin
100,0,,0,
75,1,eradication,249,gill
100,0,,0,
100,0,,0,
67,1,eradication,250,in
46,0,,0,
86,1,stocking,456,planted
71,1,habitat,177,Fishing
86,1,stocking,457,planted
86,1,stocking,458,planted
67,1,eradication,251,in
67,1,regulation,183,One
86,1,stocking,459,planted
57,1,habitat,178,Surveyed
94,0,,0,
100,0,,0,
60,1,stocking,462,and
100,0,,0,
100,0,,0,
67,1,eradication,252,in
100,0,,0,
50,1,regulation,184,Mapped
94,0,,0,
86,1,stocking,466,planted
100,0,,0,
53,1,stocking,467,re-treated.
0,0,,0,
75,1,eradication,254,Gill
0,0,,0,
100,0,,0,
67,1,eradication,255,in
67,1,habitat,181,See
40,0,,0,
50,1,regulation,186,Mapped
62,1,eradication,256,Service
100,0,,0,
67,1,regulation,187,census
100,0,,0,
67,1,stocking,470,noted
62,1,habitat,182,shiners.
62,1,stocking,471,deleted.
94,0,,0,
46,0,,0,
67,1,eradication,257,in
57,1,stocking,473,exceed
100,0,,0,
64,1,habitat,183,management
46,0,,0,
53,1,stocking,475,Partial
100,0,,0,
100,0,,0,
100,0,,0,
94,0,,0,
100,0,,0,
67,1,eradication,259,in
93,0,,0,
100,0,,0,
100,0,,0,
67,1,stocking,481,Deleted
100,0,,0,
100,0,,0,
60,1,habitat,185,all
0,0,,0,
100,0,,0,
100,0,,0,
50,1,regulation,190,mapped
100,0,,0,
60,1,habitat,186,see
67,1,regulation,191,seine
53,1,regulation,192,Completed
100,0,,0,
55,1,stocking,487,lake
67,1,regulation,193,seine
71,1,stocking,488,produced
67,1,regulation,194,seine
