LAKE NAME,CONTENTS,DATE,FUZZY MATCH,Rotenone,Kill,Chemical Renovation,Poisoned,Toxaphene,Repoisioning,Fish-Tox,Lethal,Manually remove,Removed,Antimycin,Chemical reclamation,Eradicate,Manually thin,Toxicant,Remove,Derris,Manual removal,Poison,Chemical,Chemically reclaim,Thin
WASHTENAW_SUGARLOAF_MNGM_0001_2.csv,7. Lake removed from list of  Experimental lakes.,1963,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
SCHOOLCRAFT_VANCE_MNGM_0001_1.csv,2. 10.9 and 22.0 kg/HA removed 78 &  Catch per net night increased from,1980,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
STCLAIR_RAILROAD_MNGM_0002_1.csv,nan Stocking unsuccessful probably due to  the established population of 1121-  desirable species of fish.  Fish population poisoned out by use  of emulsifiable rotenone.,1955,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MASON_GUN_MNGM_0004_1.csv,"8. Remove dam, release water and  pike because of possible contribu-  tory effect on high water table  which flood basements of nearby  residents.",1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GENESSE_THREAD_MNGM_0003_1.csv,2. Fish pop. eradicated.  See stocking record 1955.,1955,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GLADWIN_HOISTER_MNGM_0006_3.csv,23. Chemically treated fall 1971 and  restocked with rainbow trout.,1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
GRANDTRAVERSE_SANDLAKE3_MNGM_0002_1.csv,1. Lake poisoned fall 1956.,1956,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GOGEBIC_FOXPAW_MNGM_0002_1.csv,5. Lake treated with rotenone 10/64,1965,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOGEBIC_FOXPAW_MNGM_0002_1.csv,7. Netted 8/4/65--no fish taken;  minnows observed. Incomplete kill.,1965,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHIPPEWA_WEGWASS_MNGM_0003_1.csv,"3. Done 3/80 DO low, possible  winter kill lake",1980.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OAKLAND_DEER_MNGM_0001_1.csv,"8. Done, fishery good 1st yr. declined  to poor within 2 years.",1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MONTCALM_TURK_MNGM_0003_1.csv,2. Chem. treated with rotenone for  panfish reduction 8/56. Lake stocked  with 1500 SL 1. m. bass 1956 and  140 (L) pike 1957.,1961,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEWAYGO_HESS_MNGM_0003_1.csv,"7. Done, spring & summer, 1971, then  removed.  NOTE: Pertains to the fish barrier.",1971,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
BARAGA_ALBERTA_MNGM_0002_1.csv,2. Pond treated with 0. 25 ppm rotenone,1958,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BARAGA_ALBERTA_MNGM_0002_1.csv,7. Treated with rotenone(1 ppm)  10/12/64,1965,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONTCALM_COWDEN_MNGM_0001_1.csv,6. partial treatment completed; est.  bluegill killed.,1972,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
