LAKE NAME,CONTENTS,DATE,FUZZY MATCH,NO,Species,Stage,Trout,Perch,Rock Bass,Walleye,Smallmouth Bass,Pike,Suckers,Largemouth Bass,Bluegill,Bass,Green Sunfish,Bullheads,Pumpkinseed Sunfish,Rainbows,Brook trout,Panfish,Grayling,Trash,Black Spotted Trout,Montana grayling,Chubs,BrownsHybrid Sunfish,Sea Lamprey,Splake,Salmonid,Common Shiners,Tiger Muskies,Whitefish,Ichthyomyzon,Brown trout,Menominees,Sturgeon,Num
MECOSTA_PRETTY_MNGM_0001_1.csv,"4. Stocked 2,431 fingerling walleyes  "" 14,999 11 "" ",7/74,0,0,,"fing, ",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20810.0
MECOSTA_PRETTY_MNGM_0001_1.csv,"  11 880 "" 11 ",7/77,0,0,,"fing, ",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20810.0
MECOSTA_PRETTY_MNGM_0001_1.csv,"  "" 2,500 "" "" ",7/76,0,0,,"fing, ",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20810.0
WASHTENAW_SUGARLOAF_MNGM_0001_2.csv,"8. 800 n. pike, avg. 2.3"", stocked  ",5/17/63,0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300.0
WASHTENAW_SUGARLOAF_MNGM_0001_2.csv,"; 1, 500 n. pike, avg. 4.0"",  rt.pelvic fin clipped, stocked",1963,0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300.0
BRANCH_UNION_MNGM_0001_1.csv,1. Stocking: bgill. ,1923,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
BRANCH_UNION_MNGM_0001_1.csv,", 28-31, 35-45.",6/63,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
BRANCH_UNION_MNGM_0001_1.csv,"6. 7500 channel catfish total weight  600 lb., inspected by District 13  Fish personnel and stocked on  ",10/31/67,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8100.0
STJOSEPH_COREY_MNGM_0001_1.csv,"1. 5,000 legal-sized rainbows stock-  ed ",1949,0,0,,"legal, ",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000.0
STJOSEPH_COREY_MNGM_0001_1.csv,"1. (Cont'd) 7,800 - ",1949,0,0,,"legal, ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39000.0
