'LAKE NAME', 'CONTENTS', 'DATE', 'FUZZY MATCH'
WASHTENAW_SUGARLOAF_MNGM_0001_2.csv,7. Lake removed from list of  Experimental lakes. ,1963.0,0
BRANCH_UNION_MNGM_0001_1.csv,"7. Gill net survey conducted 9/27/71.  Channel catfish population appears  small, one fish netted weighed 3.7  lbs. ",,1
SCHOOLCRAFT_VANCE_MNGM_0001_1.csv,2. 10.9 and 22.0 kg/HA removed 78 &  Catch per net night increased from ,4/80 ,0
STCLAIR_RAILROAD_MNGM_0002_1.csv,nan Stocking unsuccessful probably due to  the established population of 1121-  desirable species of fish.  Fish population poisoned out by use  of emulsifiable rotenone. ,7-6-55 ,0
STJOSEPH_COREY_MNGM_0001_1.csv,6. Gill net survey to check survival  completed July 1966 trout taken  growth of fing. trout plants. ,1/67 ,1
MASON_GUN_MNGM_0004_1.csv,"8. Remove dam, release water and  pike because of possible contribu-  tory effect on high water table  which flood basements of nearby  residents. ",5/60 ,0
GENESSE_THREAD_MNGM_0003_1.csv,2. Fish pop. eradicated.  See stocking record 1955. ,1955 ,0
GLADWIN_HOISTER_MNGM_0006_3.csv,23. Chemically treated fall 1971 and  restocked with rainbow trout. ,1/72 ,0
GOGEBIC_ORMES_MNGM_0001_1.csv,7. Netting indicates brown trout will  survive and reach good size.  7(cont). Additional netting indicates  substantial pop. of small panfish; one  12 brown trout in sample ,8/62 ,1
GRANDTRAVERSE_SANDLAKE3_MNGM_0002_1.csv,1. Lake poisoned fall 1956. ,12/56 ,0
GOGEBIC_FOXPAW_MNGM_0002_1.csv,5. Lake treated with rotenone 10/64 ,8/65 ,0
GOGEBIC_FOXPAW_MNGM_0002_1.csv,7. Netted 8/4/65--no fish taken;  minnows observed. Incomplete kill. ,8/65 ,0
CHIPPEWA_WEGWASS_MNGM_0003_1.csv,"3. Done 3/80 DO low, possible  winter kill lake ",1980.0,0
ALGER_SHOESOUTH_MNGM_0001_1.csv,2. Gill netted 9/23-24/63 (Mgt) ,1964.0,1
OAKLAND_DEER_MNGM_0001_1.csv,"8. Done, fishery good 1st yr. declined  to poor within 2 years. ",3/81 ,0
MONTCALM_TURK_MNGM_0003_1.csv,2. Chem. treated with rotenone for  panfish reduction 8/56. Lake stocked  with 1500 SL 1. m. bass 1956 and  140 (L) pike 1957. ,1/61 ,0
NEWAYGO_HESS_MNGM_0003_1.csv,"7. Done, spring & summer, 1971, then  removed.  NOTE: Pertains to the fish barrier. ",1/71 ,0
BARAGA_ALBERTA_MNGM_0002_1.csv,2. Pond treated with 0. 25 ppm rotenone ,9/58 ,0
BARAGA_ALBERTA_MNGM_0002_1.csv,7. Treated with rotenone(1 ppm)  10/12/64 ,1/65 ,0
BARAGA_ALBERTA_MNGM_0002_1.csv,"14. Gill netted 7/19/66; 1965 plants  rainbows (+12. 2"") and brooks (10  doing well. ",7/66 ,1
MONTCALM_COWDEN_MNGM_0001_1.csv,6. partial treatment completed; est.  bluegill killed. ,1972 ,0
DELTA_BANANA_MNGM_0003_2.csv,9. Poisoned 7/19/66 (LSI-Mgt) ,1966.0,0
DELTA_BANANA_MNGM_0003_2.csv,11. Gill netted 8/24-25/67--good  survival of rainbow. ,1968.0,1
SCHOOLCRAFT_BLUEGILL_MNGM_0002_1.csv,3. Reclaimed lake with rotenone  9/26/62 (LSI) ,1962.0,0
SCHOOLCRAFT_BLUEGILL_MNGM_0002_1.csv,6. Gill netted 7/15 and 8/19/64--see  notes and ref. (Mgt) ,1964.0,1
SCHOOLCRAFT_BLUEGILL_MNGM_0002_1.csv,6. Gill netted 6/13-14/66 negative  results (Mgt) ,1966.0,1
OGEMAW_NERO_MNGM_0003_1.csv,"1. Poisoned, August, 1946. ",7/1955 ,0
OGEMAW_NERO_MNGM_0003_1.csv,"42. Removed from trout lake classi-  fication, 1953, warm water fish taken ",11/61 ,0
BARAGA_ROLLAND_MNGM_0003_2.csv,18. Lake treated with 0. 5+ ppm  rotenone 9/1/66. ,9/66 ,0
BARAGA_ROLLAND_MNGM_0003_2.csv,25. Done; treated w/rotenone 10/75. ,1/76 ,0
GOGEBIC_QUEEN_MNGM_0001_1.csv,1. Gill netting and water analysis ,2/65 ,1
BARAGA_KNIGHT_MNGM_0001_1.csv,3. Neeting & spot poisoning failed to  bass. A large popul. of minnows ,LM ,0
DICKINSON_HARDWOOD_MNGM_0001_1.csv,"2. cont. Significant winterkill of  walleyes observed 2/29/82 at dam and  0 2-24-82, 0.0 ppm 2 at dam.  2 cont. Signif. winterkill evident  spring '82. mostly blk. crappies, small  bullheads & sm. yell.perch. ",3/82 ,0
KALKASKA_WESTBLUE_MNGM_0003_1.csv,2. Netted and seined in 9/59. The  catch made with 6 sets of gill  nets included 7 walleyes (13.3- ,3/60 ,1
BARAGA_LAWS_MNGM_0001_1.csv,3. Lake poisoned. ,1960 ,0
BARAGA_LAWS_MNGM_0001_1.csv,6. Gill netting showed good pop. of  brook and rainbow trout. Fishermen  report good winter rainbow fishing  with few brook tr out being hooked ,1964 ,1
BARAGA_LAWS_MNGM_0001_1.csv,11. Revised.  12 Lake treated with 0. 5+ ppm rotenone OFF ,8/23/66; ,0
LAPEER_YOUNGS_MNGM_0001_1.csv,1. Rotenone applied by airplane. ,10/71 ,0
MONTCALM_TOWNLINE_MNGM_0001_2.csv,26. Selective w/antimycin completed. ,10/78 ,0
SAGINAW_LINTON_MNGM_0003_1.csv,7. Overnight gill net sets produced  gizzard shad and small carp. Water  is moderately turbid. ,1958 ,1
SAGINAW_LINTON_MNGM_0003_1.csv,8. Gill net surv. conducted. See lake  fish collection ,9/64 ,1
SAGINAW_LINTON_MNGM_0003_1.csv,9. Lake chemically treated. ,9/64 ,0
LAKE_HOWES_MNGM_0003_1.csv," winterkilled in the past. Some  seining was done during September,  1951. ",,0
MARQUETTE_FISH_MNGM_0004_1.csv,"3. Good fishing for crappies, no.  spawn in outlet; trout also present  in outlet. Fish kills in summers of  1949 & 50 affected crappies, perch,  sunfish, bluegills and bass in about  that order. ",11/50 ,0
MARQUETTE_FISH_MNGM_0004_1.csv,4. No effect of fish kills on fishing  quality noted to date. Cottage owners  complain of decline in n. pike &  crappie fishery; blame heavy winter  pressure. ,1956- ,0
STCLAIR_BRYCEROAD_MNGM_0002_1.csv, Stocking unsuccessful probably due  to the established population of un-  desirsbl> species of fish.  Fish population poisoned out by use  of emulsifiable rotenone. ,9-26-52 ,0
LAPEER_BASSO_MNGM_0001_1.csv,2. Killed out with rotenone ,10/71 ,0
LUCE_LOST_MNGM_0003_1.csv,"2. Poisoned August, 1948 ",10/4 ,0
LUCE_LOST_MNGM_0003_1.csv,3. Gill nets set /51-survival good;  growth excellent. ,8/51 ,1
HOUGHTON_PIKE_MNGM_0001_1.csv,4. Treated w/rotenone 10/77. ,10/77 ,0
