LAKE NAME,CONTENTS,DATE,FUZZY MATCH,NO,Species,Stage,Trout,Perch,Rock Bass,Walleye,Smallmouth Bass,Pike,Suckers,Largemouth Bass,Bluegill,Bass,Green Sunfish,Bullheads,Pumpkinseed Sunfish,Rainbows,Brook trout,Panfish,Grayling,Trash,Black Spotted Trout,Montana grayling,Chubs,BrownsHybrid Sunfish,Sea Lamprey,Splake,Salmonid,Common Shiners,Tiger Muskies,Whitefish,Ichthyomyzon,Brown trout,Menominees,Sturgeon,Num
MECOSTA_PRETTY_MNGM_0001_1.csv,"4. Stocked 2,431 fingerling walleyes  "" 14,999 11 "" 7/74  11 880 "" 11 7/77  "" 2,500 "" "" 7/76",2/78,0,0,,"fing, ",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20810.0
WASHTENAW_SUGARLOAF_MNGM_0001_2.csv,"8. 800 n. pike, avg. 2.3"", stocked  5/17/63; 1, 500 n. pike, avg. 4.0"",  rt.pelvic fin clipped, stocked",1963,0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300.0
BRANCH_UNION_MNGM_0001_1.csv,"1. Stocking: bgill. 1923, 28-31, 35-45.",6/63,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
BRANCH_UNION_MNGM_0001_1.csv,"6. 7500 channel catfish total weight  600 lb., inspected by District 13  Fish personnel and stocked on  10/31/67",,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8100.0
STCLAIR_RAILROAD_MNGM_0002_1.csv,nan Stocking unsuccessful probably due to  the established population of 1121-  desirable species of fish.  Fish population poisoned out by use  of emulsifiable rotenone.,7-6-55,0,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1121.0
MARQUETTE_HASSCIB_MNGM_0002_1.csv,1. Lake treated in fall of 1957. Stocked  in spring and fall in 1958. Designated  a trout lake in '59 & use of minnows  for bait prohibited.,4/78,0,1,,"minnows, ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
STJOSEPH_COREY_MNGM_0001_1.csv,"1. 5,000 legal-sized rainbows stock-  ed 1949.",1950,0,0,,"legal, ",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000.0
STJOSEPH_COREY_MNGM_0001_1.csv,"1. (Cont'd) 7,800 - 1949;2200 -1950;  5000 - 1951;10,000 -1952; 5000 -  1953. Good returns.  Lake biologically inventoried in  summer of 1953. Rainbow trout taken  in nets.  3, 4. Lake stocked annually with  5,000 legal rainbow. Planted  in 2 groups (1957-1962)--4,000  in spring, 1, 000 in fall. 1956  plant was only 1, 000 fall-planted  trout.",5/62,0,0,,"legal, ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39000.0
BRANCH_CLAYTON_MNGM_0002_1.csv,"1. Fishery surveys conducted 1927 and  1939. B-gills stocked 1937-40, 142;",1965.0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.0
MASON_GUN_MNGM_0004_1.csv,"1. Regularly stocked with warm water  species, bass and bluegills until  1944. No stocking since that time.  2,3,5. Aquatic vegetation dense. No  further cover is necessary.",9/54,0,1,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
